STATION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,
DESST,2013,45,107,14,0,0,11,95,164,86,0,156,78,,,
MUHLE,2013,53,105,19,0,0,19,221,232,81,0,138,86,,,
PAST3,2013,31,92,15,0,0,8,259,179,131,0,153,84,,,
AMADO,2013,32,85,8,0,0,25,305,192,152,0,186,85,,,
GRARI,2013,32,74,8,0,0,28,232,128,75,0,178,83,,,
SW,2013,33,94,17,0,1,16,218,224,167,0,161,81,,,
41,2013,59,120,28,0,0,13,187,229,203,0,190,85,,,
WHITE,2013,59,143,24,2,1,32,220,516,78,0,216,98,,,
ROAD,2013,53,122,24,0,0,23,303,418,149,0,166,86,,,
FORES,2014,0,18,253,14,0,0,480,310,601,181,3,-9999,,,
DESGR,2014,0,20,194,14,0,0,454,315,447,145,4,256,,,
RODEN,2014,0,10,172,15,0,0,358,173,217,134,0,251,,,
IBP,2014,0,14,205,13,0,0,430,355,313,124,1,247,,,
PARKE,2014,0,13,229,12,0,0,418,366,364,126,3,217,,,
BOX,2014,0,11,160,10,0,0,315,239,278,163,0,224,,,
45,2014,0,9,172,12,0,0,378,211,321,150,0,228,,,
ERIOP,2014,0,9,-9999,8,0,0,358,130,191,168,0,228,,,
RUELA,2014,0,9,158,6,0,0,493,366,271,129,0,217,,,
HUERF,2014,0,12,163,8,0,0,411,168,157,149,0,233,,,
LIMST,2014,0,9,162,4,0,0,407,335,203,172,0,266,,,
NE,2014,0,7,188,3,0,0,402,463,185,130,0,263,,,
DESRI,2014,0,8,164,6,0,0,389,276,224,116,0,262,,,
164,2014,0,7,199,5,0,0,336,260,237,94,0,256,,,
NW,2014,0,8,187,1,0,0,434,264,127,118,0,183,,,
DESST,2014,0,6,222,2,0,0,445,178,138,73,0,244,,,
MUHLE,2014,0,6,164,8,0,0,370,181,197,129,0,239,,,
PAST3,2014,0,5,215,4,0,0,527,141,199,80,0,217,,,
AMADO,2014,0,6,182,8,0,0,300,138,310,102,0,155,,,
GRARI,2014,0,2,193,2,0,0,406,70,173,102,0,160,,,
SW,2014,0,5,176,9,0,0,380,108,278,119,0,230,,,
41,2014,0,16,197,14,0,0,287,211,298,117,0,253,,,
WHITE,2014,0,14,211,13,0,0,347,408,437,101,0,257,,,
ROAD,2014,0,12,184,17,0,0,298,233,254,117,0,255,,,
FORES,2015,217,28,57,76,35,294,151,362,391,177,48,150,,,
DESGR,2015,175,58,40,61,35,325,153,306,382,152,41,137,,,
RODEN,2015,182,21,36,59,41,259,128,429,437,117,52,136,,,
IBP,2015,197,41,49,79,36,303,191,415,372,198,43,132,,,
PARKE,2015,230,31,62,84,43,305,250,588,454,200,50,135,,,
BOX,2015,162,36,43,65,46,210,140,293,366,-9999,36,130,,,
45,2015,161,23,33,58,45,210,174,334,409,175,47,117,,,
ERIOP,2015,161,16,31,55,46,168,223,200,479,163,51,117,,,
RUELA,2015,178,31,57,70,35,162,184,265,363,144,41,118,,,
HUERF,2015,171,18,38,49,48,145,213,267,473,157,40,136,,,
LIMST,2015,178,19,38,80,45,186,320,235,439,189,41,125,,,
NE,2015,177,42,34,56,60,239,265,341,337,262,28,134,,,
DESRI,2015,193,20,30,54,61,166,254,232,329,250,40,130,,,
164,2015,178,74,20,51,59,228,200,220,316,211,25,137,,,
NW,2015,184,59,28,40,47,171,154,118,417,242,22,134,,,
DESST,2015,188,20,34,28,-9999,202,221,91,263,171,34,110,,,
MUHLE,2015,164,14,27,44,43,150,207,179,409,139,42,138,,,
PAST3,2015,182,18,36,38,39,178,192,129,280,140,29,127,,,
AMADO,2015,170,14,32,55,34,300,227,146,395,84,51,108,,,
GRARI,2015,178,15,24,42,27,186,127,152,304,124,29,98,,,
SW,2015,161,12,26,46,40,280,233,214,400,145,54,109,,,
41,2015,178,48,45,68,34,400,221,364,344,100,52,104,,,
WHITE,2015,183,28,47,73,30,344,282,443,393,129,50,122,,,
ROAD,2015,176,54,38,67,42,386,199,411,376,156,42,123,,,
FORES,2016,165,0,3,70,14,142,579,386,511,13,18,228,,,
DESGR,2016,201,0,4,55,17,189,529,487,406,0,18,118,,,
RODEN,2016,210,0,7,64,5,261,378,256,332,0,18,132,,,
IBP,2016,192,0,5,41,7,153,339,294,326,27,24,162,,,
PARKE,2016,211,0,8,45,13,180,471,412,402,77,23,186,,,
BOX,2016,187,0,6,36,3,171,340,311,248,14,24,152,,,
45,2016,186,7,0,47,4,211,405,284,332,10,19,115,,,
ERIOP,2016,198,0,7,40,0,118,454,286,307,26,24,109,,,
RUELA,2016,183,0,8,39,2,161,340,368,328,70,21,155,,,
HUERF,2016,189,0,6,39,0,224,467,395,229,58,20,101,,,
LIMST,2016,193,0,7,36,6,307,447,389,210,54,18,103,,,
NE,2016,198,0,41,58,5,237,494,321,238,28,12,105,,,
DESRI,2016,184,0,10,61,6,160,406,659,218,40,12,114,,,
164,2016,173,0,5,50,3,147,475,366,229,28,19,104,,,
NW,2016,164,0,6,70,5,165,409,338,219,19,12,113,,,
DESST,2016,173,0,5,72,12,213,458,290,185,18,8,103,,,
MUHLE,2016,172,0,9,65,3,178,344,321,228,12,18,114,,,
PAST3,2016,164,0,4,72,10,173,446,176,216,6,17,106,,,
AMADO,2016,147,0,4,76,2,123,309,233,218,0,9,116,,,
GRARI,2016,156,0,4,71,0,96,326,218,179,4,10,100,,,
SW,2016,154,0,4,73,0,196,331,238,219,0,12,102,,,
41,2016,172,0,5,94,7,231,369,371,248,9,14,151,,,
WHITE,2016,179,0,5,77,10,259,563,482,334,0,9,164,,,
ROAD,2016,180,0,7,75,7,303,355,323,280,6,14,120,,,
FORES,2017,210,49,26,8,2,4,751,160,9,3,22,81,,,
DESGR,2017,163,27,24,9,0,8,727,194,9,4,18,69,,,
RODEN,2017,113,13,10,2,1,0,583,78,9,0,14,54,,,
IBP,2017,136,39,20,8,1,10,975,71,9,4,26,53,,,
PARKE,2017,138,44,30,9,1,9,981,84,9,2,23,83,,,
BOX,2017,144,24,17,8,0,4,812,122,9,0,19,51,,,
45,2017,110,15,14,9,0,0,602,129,9,0,18,60,,,
ERIOP,2017,110,20,16,6,0,0,638,121,9,3,19,46,,,
RUELA,2017,139,25,36,10,2,0,879,125,9,0,23,63,,,
HUERF,2017,110,21,22,4,3,0,541,166,9,0,19,40,,,
LIMST,2017,97,24,17,5,5,0,410,147,9,0,13,34,,,
NE,2017,96,22,8,2,10,0,304,64,9,0,15,40,,,
DESRI,2017,123,23,13,3,2,3,431,62,9,0,17,49,,,
164,2017,94,18,12,3,2,0,369,72,9,0,13,50,,,
NW,2017,119,20,14,5,4,0,299,98,9,0,10,44,,,
DESST,2017,97,18,17,5,4,0,381,102,9,0,12,45,,,
MUHLE,2017,97,17,8,7,1,0,407,95,9,0,15,56,,,
PAST3,2017,116,19,15,7,1,1,479,118,9,0,13,52,,,
AMADO,2017,130,12,8,10,3,9,474,129,9,0,15,59,,,
GRARI,2017,120,9,15,8,4,7,378,194,9,0,13,49,,,
SW,2017,100,9,10,8,2,1,531,116,9,0,16,58,,,
41,2017,129,18,9,10,4,5,648,174,9,9,13,72,,,
WHITE,2017,155,23,24,10,2,6,912,195,9,0,19,71,,,
ROAD,2017,118,12,9,8,0,0,663,160,9,0,16,57,,,
FORES,2018,30,366,3,0,0,222,236,331,403,410,0,246,,,
DESGR,2018,24,322,2,0,0,279,225,262,465,398,0,224,,,
RODEN,2018,26,366,2,0,0,295,332,275,560,352,0,154,,,
IBP,2018,27,404,5,0,0,289,396,310,329,348,0,187,,,
PARKE,2018,31,349,5,0,0,226,384,301,336,368,0,192,,,
BOX,2018,25,315,3,0,0,305,352,240,379,398,0,200,,,
45,2018,23,356,3,0,0,289,345,334,380,414,0,189,,,
ERIOP,2018,23,338,2,0,0,232,341,306,408,366,0,172,,,
RUELA,2018,29,311,4,0,0,294,451,212,453,420,0,206,,,
HUERF,2018,24,321,3,0,0,171,444,192,469,327,0,176,,,
LIMST,2018,26,339,3,0,0,119,411,213,419,338,0,183,,,
NE,2018,21,365,4,0,0,103,193,188,485,277,0,198,,,
DESRI,2018,25,384,1,0,0,139,270,247,499,269,0,202,,,
164,2018,15,368,2,0,0,106,175,349,409,256,0,203,,,
NW,2018,5,368,2,0,0,93,253,189,331,330,0,197,,,
DESST,2018,8,393,2,0,0,112,260,195,353,322,0,205,,,
MUHLE,2018,19,405,2,0,0,171,337,134,360,253,0,188,,,
PAST3,2018,7,409,2,0,0,180,219,201,407,350,0,185,,,
AMADO,2018,5,407,2,0,0,160,156,313,474,385,0,175,,,
GRARI,2018,0,410,0,0,0,144,175,235,435,359,0,154,,,
SW,2018,19,402,2,0,0,195,187,184,508,329,0,141,,,
41,2018,28,378,2,0,0,196,160,275,416,386,0,161,,,
WHITE,2018,23,336,0,0,0,220,187,267,462,364,0,201,,,
ROAD,2018,25,365,1,0,0,206,191,232,506,341,0,200,,,
FORES,2019,126,285,140,3,133,74,206,353,465,0,458,150,,,
DESGR,2019,126,248,97,2,84,40,160,573,339,0,382,146,,,
RODEN,2019,153,253,86,3,43,17,164,510,269,0,308,152,,,
IBP,2019,150,252,96,6,82,28,184,403,409,0,371,131,,,
PARKE,2019,157,272,64,50,80,37,239,325,482,0,441,139,,,
BOX,2019,143,239,84,4,59,12,154,359,371,0,369,137,,,
45,2019,147,258,85,3,63,5,125,339,280,0,305,150,,,
ERIOP,2019,151,244,75,4,47,3,187,180,396,0,291,151,,,
RUELA,2019,146,254,90,23,59,15,265,233,615,0,318,153,,,
HUERF,2019,182,240,78,8,36,3,264,253,420,0,279,164,,,
LIMST,2019,174,273,77,10,0,33,231,215,456,0,279,190,,,
NE,2019,179,251,74,4,20,17,232,188,389,0,238,160,,,
DESRI,2019,158,253,80,4,37,0,162,159,304,0,109,187,,,
164,2019,125,244,72,3,32,0,196,146,290,0,105,168,,,
NW,2019,117,248,78,1,46,0,147,144,293,0,278,164,,,
DESST,2019,103,227,76,0,67,0,166,133,300,0,91,178,,,
MUHLE,2019,117,251,80,0,47,5,173,228,268,0,100,185,,,
PAST3,2019,95,250,81,0,84,9,216,119,275,0,93,182,,,
AMADO,2019,101,264,92,3,45,8,213,205,260,0,279,200,,,
GRARI,2019,112,237,82,5,39,8,269,221,330,0,81,172,,,
SW,2019,129,246,85,5,0,8,178,203,247,0,271,129,,,
41,2019,137,277,45,39,67,58,211,443,299,0,318,174,,,
WHITE,2019,136,273,103,3,77,84,193,323,359,0,138,160,,,
ROAD,2019,109,241,70,21,63,16,171,559,388,0,118,146,,,
FORES,2020,101,141,150,49,100,0,310,94,2,2,53,40,,,
DESGR,2020,96,107,103,47,68,0,273,53,3,1,57,42,,,
RODEN,2020,87,98,71,14,37,0,214,50,6,0,54,43,,,
IBP,2020,91,112,99,34,54,0,211,90,5,2,49,40,,,
PARKE,2020,105,123,128,35,66,0,282,38,4,4,38,36,,,
BOX,2020,86,51,145,36,38,0,133,71,4,3,60,42,,,
45,2020,89,92,91,24,49,0,118,43,5,2,66,45,,,
ERIOP,2020,85,90,90,26,53,3,124,74,4,1,62,41,,,
RUELA,2020,99,113,95,34,52,6,178,52,0,2,48,52,,,
HUERF,2020,92,93,96,33,21,7,118,83,13,2,59,48,,,
LIMST,2020,89,97,91,26,55,5,123,86,12,3,49,53,,,
NE,2020,86,88,68,27,106,0,71,65,3,2,38,45,,,
DESRI,2020,86,89,62,19,53,0,182,90,18,3,36,50,,,
164,2020,76,96,58,8,78,4,52,30,9,0,34,45,,,
NW,2020,72,123,68,11,105,0,51,39,0,3,23,39,,,
DESST,2020,77,84,63,8,93,0,55,50,0,0,13,43,,,
MUHLE,2020,86,87,65,9,80,6,138,73,0,7,69,46,,,
PAST3,2020,79,79,65,10,22,0,81,46,0,6,23,42,,,
AMADO,2020,97,106,75,12,31,0,137,7,0,4,38,39,,,
GRARI,2020,82,79,72,13,7,0,84,32,0,0,18,38,,,
SW,2020,142,86,62,10,24,0,118,47,2,7,58,40,,,
41,2020,101,98,84,11,104,0,100,46,7,0,53,39,,,
WHITE,2020,101,107,90,46,89,3,163,44,8,2,53,44,,,
ROAD,2020,96,96,85,24,45,0,233,47,3,3,50,42,,,
FORES,2021,182,0,46,19,0,5,710,606,303,0,0,160,,,
DESGR,2021,161,0,43,10,0,4,742,568,266,0,1,147,,,
RODEN,2021,148,0,41,18,0,23,621,518,206,0,0,142,,,
IBP,2021,169,0,62,14,0,7,835,576,321,0,0,146,,,
PARKE,2021,146,0,57,16,0,0,844,703,321,0,0,157,,,
BOX,2021,167,0,60,25,0,9,803,643,295,0,0,143,,,
45,2021,154,0,47,21,0,16,683,590,223,0,0,143,,,
ERIOP,2021,157,0,35,10,0,27,792,578,269,3,0,148,,,
RUELA,2021,189,0,47,17,0,9,907,539,267,0,0,132,,,
HUERF,2021,130,0,38,12,0,14,896,475,198,0,0,144,,,
LIMST,2021,162,0,42,1,0,3,969,333,230,0,0,143,,,
NE,2021,192,0,37,1,0,5,987,242,165,0,0,145,,,
DESRI,2021,149,0,35,0,0,13,1001,375,196,0,0,137,,,
164,2021,134,0,28,4,0,16,845,294,114,0,0,144,,,
NW,2021,142,0,20,9,0,25,758,465,153,0,0,137,,,
DESST,2021,129,0,26,5,0,31,846,465,124,0,0,138,,,
MUHLE,2021,140,0,32,2,0,11,691,458,219,0,5,151,,,
PAST3,2021,154,0,24,8,0,2,685,328,152,0,0,149,,,
AMADO,2021,174,0,22,3,0,42,560,458,189,0,0,133,,,
GRARI,2021,148,0,23,18,0,28,604,502,245,0,0,138,,,
SW,2021,146,0,33,3,0,54,611,385,255,9,0,127,,,
41,2021,172,0,32,13,0,27,678,527,268,0,0,136,,,
WHITE,2021,167,0,34,12,0,7,846,507,305,0,0,137,,,
ROAD,2021,158,0,36,14,0,20,721,548,203,0,0,141,,,
FORES,2022,11,87,73,0,0,,,,,,,,,,
DESGR,2022,5,65,81,0,0,,,,,,,,,,
RODEN,2022,4,58,64,0,0,,,,,,,,,,
IBP,2022,5,69,100,0,0,,,,,,,,,,
PARKE,2022,0,83,80,0,0,,,,,,,,,,
BOX,2022,6,60,92,0,0,,,,,,,,,,
45,2022,9,57,60,0,0,,,,,,,,,,
ERIOP,2022,0,67,68,2,0,,,,,,,,,,
RUELA,2022,6,58,53,22,0,,,,,,,,,,
HUERF,2022,0,58,88,0,0,,,,,,,,,,
LIMST,2022,0,58,75,0,0,,,,,,,,,,
NE,2022,9,69,61,0,0,,,,,,,,,,
DESRI,2022,14,57,74,0,0,,,,,,,,,,
164,2022,0,51,81,0,0,,,,,,,,,,
NW,2022,7,53,83,0,0,,,,,,,,,,
DESST,2022,9,53,68,0,0,,,,,,,,,,
MUHLE,2022,6,49,68,0,0,,,,,,,,,,
PAST3,2022,0,49,102,0,0,,,,,,,,,,
AMADO,2022,2,39,46,0,0,,,,,,,,,,
GRARI,2022,6,42,42,0,0,,,,,,,,,,
SW,2022,10,45,44,2,0,,,,,,,,,,
41,2022,2,49,66,0,0,,,,,,,,,,
WHITE,2022,10,49,85,0,0,,,,,,,,,,
ROAD,2022,2,52,74,0,0,,,,,,,,,,
