OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
31,31,31,11.999999998137355,4.440000000260770,0.0150000,0.2237737,0.2435634,0.3615653,0.2681615,0.2694860,0.3512124,0.3924697,0.4076002,0.4972469,0.2687322,0.2697840,0.3394901,woody
32,32,32,11.000000000000000,2.699999999813736,0.0150000,0.1409834,0.1409834,0.2364470,0.2308159,0.2308159,0.2775553,0.3374576,0.3374576,0.4129140,0.2413772,0.2413772,0.2826465,woody
33,33,33,8.200000001117587,2.170000000130385,0.0100000,0.3751801,0.3751801,0.4060979,0.3322802,0.3322802,0.3428571,0.5107583,0.5107583,0.5329609,0.3250323,0.3250323,0.3335664,woody
34,34,34,23.200000002980232,9.730000001359731,0.0100000,0.2906493,0.3393237,0.5412257,0.3121995,0.3200671,0.4414346,0.4445455,0.4780793,0.6277620,0.3062364,0.3115683,0.4094609,woody
35,35,35,17.599999995902181,5.989999999888241,0.0100000,0.2460322,0.2231511,0.4240488,0.2698268,0.2634130,0.3347971,0.4068837,0.3897604,0.5334927,0.2694323,0.2634910,0.3207095,woody
36,36,36,12.600000003352761,4.200000001117587,0.0133333,0.2351009,0.2278349,0.3816425,0.2740653,0.2708873,0.3305036,0.4017035,0.3997611,0.5044296,0.2744671,0.2732172,0.3173479,woody
37,37,37,10.199999999254942,2.460000000763685,0.0100000,0.1758655,0.1758655,0.2781338,0.2348740,0.2348740,0.2655547,0.3542605,0.3542605,0.4249786,0.2402644,0.2402644,0.2624426,woody
38,38,38,10.999999992549419,2.419999999664724,0.0150000,0.2940390,0.2940390,0.3210438,0.2964270,0.2964270,0.3054919,0.4493774,0.4493774,0.4683342,0.2945310,0.2945310,0.3014387,woody
39,39,39,13.200000004842877,3.410000000204891,0.0125000,0.2683682,0.2784925,0.3635705,0.2779157,0.2775661,0.3308474,0.4278271,0.4346555,0.4988067,0.2778254,0.2774093,0.3216851,woody
40,40,40,10.400000002235174,3.380000000800937,0.0200000,0.1090693,0.0509467,0.2437657,0.2131983,0.1771675,0.2970346,0.2982264,0.2553042,0.3965704,0.2171754,0.1894434,0.2852607,woody
